"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"1966",1966,"monensin",-0.436196319018405,1,-0.436196319018405,NA,0.0568,1966
"2477",2477,"FCCP",-0.390506739632424,34,-0.49838445807771,0.305182683504098,0.0987,2477
"2587",2587,"CCCP",-0.380772551692797,18,-0.430777096114519,0.268801555364984,0.1104,2587
