"","pert_iname","mean","n","median","sd","sRGES"
"1488","BRD-K88707333",-0.520389227732465,11,-0.596114519427403,0.294508056576548,-0.520389227732465
"1489","BRD-K97274161",-0.52020151212255,6,-0.598159509202454,0.46161351913516,-0.52020151212255
"1490","BRD-K17745445",-0.520143695396663,1,-0.520143695396663,NA,-0.520143695396663
"1491","BRD-K83631404",-0.519922154837699,3,-0.609407499077645,0.198592503887136,-0.519922154837699
"1492","KUC111774N",-0.519829430662155,47,-0.613701431492843,0.293257485072943,-0.519829430662155
"1493","BRD-K96543798",-0.51950463609196,2,-0.51950463609196,0.448810362394222,-0.51950463609196
"1494","BRD-K04266880",-0.519427948975395,1,-0.519427948975395,NA,-0.519427948975395
"1495","BRD-K80732408",-0.51922344999789,1,-0.51922344999789,NA,-0.51922344999789
"1496","SA-1457810",-0.518861455640624,2,-0.518861455640624,0.0833692350023281,-0.518861455640624
"1497","alverine",-0.518448336538981,1,-0.518448336538981,NA,-0.518448336538981
"1498","BRD-K49562544",-0.518402342581842,3,-0.501482617586912,0.0613573751668639,-0.518402342581842
"1499","BRD-K13697129",-0.51772315776472,1,-0.51772315776472,NA,-0.51772315776472
"1500","BRD-K62753164",-0.516735062572512,2,-0.516735062572512,0.282529854455929,-0.516735062572512
"1501","BRD-K44890999",-0.516458319598734,2,-0.516458319598734,0.0824289318532334,-0.516458319598734
"1502","BRD-K74126469",-0.516422953739007,3,-0.452753040015464,0.14750719339609,-0.516422953739007
"1503","SKF-83822",-0.515541922290389,1,-0.515541922290389,NA,-0.515541922290389
"1504","BRD-K10010115",-0.515445410600779,16,-0.568247685651903,0.255157851612542,-0.515445410600779
"1505","KU-C103875",-0.514775051124745,2,-0.514775051124745,0.0203166672304115,-0.514775051124745
"1506","BRD-K88748878",-0.514213225049015,1,-0.514213225049015,NA,-0.514213225049015
"1507","SA-1458487",-0.513696460392978,8,-0.576811353391135,0.243431975133347,-0.513696460392978
"1508","BRD-K20099363",-0.513480437046289,3,-0.593047580877236,0.19439648985357,-0.513480437046289
