"","log2FoldChange","logCPM","LR","pvalue","padj"
"ENSG00000260808",-0.816336767391683,-0.205738328400782,23.6466721533503,1.15745897663105e-06,0.00910688722813314
"ENSG00000138892",-1.45330541686976,-1.80759163023584,14.3344104124545,0.00015304171932765,1
"ENSG00000138738",0.506789301397561,5.74586419016144,17.9033428285368,2.32412527410794e-05,0.174286154305354
"ENSG00000260121",-0.737318578554764,3.52302463703198,32.2967849028945,1.32332115360563e-08,0.000109385726557041
"ENSG00000223407",0,-1.97480200150664,0,1,1
"ENSG00000254527",-1.75824621048454,-0.426044762548919,81.6501733111965,1.6243756743656e-19,1.51131912742976e-15
"ENSG00000149929",0.730048521754053,8.12614920613084,100.656578244039,1.09397744206246e-23,1.03982555868037e-19
"ENSG00000123066",0.961362141675243,9.306641025852,100.018142947571,1.51007409328909e-23,1.43472139603397e-19
"ENSG00000168582",0.522200055470354,-0.368845332034837,3.3393824458087,0.0676399911403255,1
"ENSG00000074964",1.20508298550682,9.18107003612943,105.425901762895,9.85137106925064e-25,9.39426745163741e-21
"ENSG00000239069",0,-1.97480200150664,0,1,1
"ENSG00000254965",-1.13126830890352,-1.77951787225747,8.74939110529981,0.00309705446187948,1
"ENSG00000233766",-1.01493832596347,-1.47582078703557,12.1195932514964,0.000498947857240593,1
"ENSG00000117971",-0.635743362043164,-0.040346556261043,3.97340925825972,0.046224094571472,1
"ENSG00000126337",2.00220733119935,-1.25172180945258,21.306931358422,3.91314025503747e-06,0.0302524873116947
"ENSG00000277539",0.0791118399146199,-1.94145475857832,0.0412370457134941,0.839081049439776,1
"ENSG00000215388",-1.14811938380484,0.0456565374102827,60.9509766115441,5.8513898665766e-15,5.29316727330519e-11
"ENSG00000279299",-0.297732538373114,-1.96522512591418,1.34459894589013,0.246224560337015,1
"ENSG00000254968",-1.0590626514367,-0.721162404092205,23.1919344953757,1.46610942948041e-06,0.0114942979271264
"ENSG00000274479",0,-1.97480200150664,0,1,1
"ENSG00000265375",0,-1.97480200150664,0,1,1
"ENSG00000130726",1.04571476180436,10.151242432099,183.086469294243,1.0269510672012e-41,1.01206027672678e-37
"ENSG00000129003",0.226904437629643,9.01738055709565,8.23079306185468,0.00411855286883013,1
"ENSG00000120254",0.876169048373708,7.06180252092866,107.870744600554,2.86890978341311e-25,2.74009573413786e-21
"ENSG00000223609",-3.30034099227527,0.652861993373776,75.4340010336273,3.77827354551873e-18,3.49339172018661e-14
"ENSG00000229723",0.460683195947889,-1.87982561825698,1.07343178904391,0.300171570555531,1
"ENSG00000237365",0.140238318758504,-1.96757687453737,0.647098836923913,0.421151834667324,1
"ENSG00000236026",0,-1.97480200150664,0,1,1
"ENSG00000244632",-0.901306852668024,-1.95972059406821,11.2879909696035,0.000780100527568541,1
"ENSG00000225689",-0.333263820619878,-1.72115704645187,0.655896127678474,0.418012514141389,1
"ENSG00000271390",-1.00509957102613,-1.69296676707327,3.78833381046721,0.0516110002459612,1
"ENSG00000227375",-0.449205413033528,-1.14621888998733,3.15321054182948,0.075777731590381,1
"ENSG00000105197",0.869922862637554,8.63679256594898,137.008374128929,1.20077626915746e-31,1.16571360209807e-27
"ENSG00000196406",-0.0381059169822698,-1.95155296795312,0.0128569059963795,0.909722717166054,1
"ENSG00000270762",0.268851447395647,-1.96005977882088,1.29208780319683,0.255663551362274,1
"ENSG00000278038",0,-1.97480200150664,0,1,1
"ENSG00000127603",-0.443958111673928,11.4637752391034,24.9039064794176,6.02601915660069e-07,0.00477742798735303
"ENSG00000196189",-0.856566827352081,7.20622154779415,30.3922982667199,3.52926616364599e-08,0.000288588094201332
"ENSG00000280266",0.349246209246711,-0.48649073016801,2.36918488685185,0.123751652690111,1
"ENSG00000242362",0,-1.97480200150664,0,1,1
"ENSG00000100890",0.629362831930931,7.4911975758713,85.9385973329312,1.85610393606256e-20,1.73749889454816e-16
"ENSG00000207317",0,-1.97480200150664,0,1,1
"ENSG00000231368",0.0719912201985379,-1.97112290466813,0.32394058752498,0.569249064360743,1
"ENSG00000169894",-1.74338594242236,0.891936739285454,43.6787557837951,3.86949477823536e-11,3.34982162951835e-07
"ENSG00000213538",0.216712914462591,-1.57137719480049,0.389005985733945,0.532822361053727,1
"ENSG00000183668",-1.23257906634084,-1.66106172568466,8.05542894941193,0.00453675004432131,1
"ENSG00000271553",-0.772921201367654,2.44419566535166,33.2798073914738,7.98070382275503e-09,6.63036873594488e-05
"ENSG00000095970",1.45641580388116,7.75441556447212,47.7947414379749,4.73259710443616e-12,4.14717484261741e-08
"ENSG00000215414",0.578418264785461,-0.151308039749316,10.2230278702688,0.00138697965781446,1
"ENSG00000226860",0,-1.97480200150664,0,1,1
"ENSG00000182197",1.15630788001905,6.99501768556087,294.115375433615,6.30775234025269e-66,6.28630598229583e-62
"ENSG00000234835",-1.01814881842423,-1.3858822661752,12.7383268041189,0.00035823803443824,1
"ENSG00000248794",0.231494096226239,-0.7707143727783,0.995509910772427,0.31839942267085,1
"ENSG00000250129",-0.486226747439876,-1.85716846310392,1.40432938930118,0.236000032659871,1
"ENSG00000271243",0.0707453720010597,-1.97155302010084,0.323658177591296,0.56941746351145,1
"ENSG00000273580",-1.66314148703047,-1.40433849742105,34.3335034923085,4.64319367582813e-09,3.87892399678682e-05
"ENSG00000207597",0,-1.97480200150664,0,1,1
"ENSG00000104731",0.114856349915869,7.54862864775733,4.34855252918646,0.0370404148334655,1
"ENSG00000156463",-2.32679799657553,2.89332931974995,73.4626590191667,1.02558129919692e-17,9.45996190379235e-14
"ENSG00000197503",-0.871521291392106,-1.68966322594683,3.44296018422473,0.0635217862537501,1
"ENSG00000189127",-4.42034548108905,2.66911044464274,215.59338703956,8.27221107623275e-49,8.19610673433141e-45
"ENSG00000105219",-1.429378871157,2.14733983927597,62.8428937758859,2.23869882306469e-15,2.03072370240198e-11
"ENSG00000249429",0,-1.97480200150664,0,1,1
"ENSG00000241635",-0.49499332013357,-1.92038519354731,1.23671056956802,0.26610595032102,1
"ENSG00000249505",-2.26407510844033,-1.84065185350885,40.849231134717,1.64437938926878e-10,1.40824650896978e-06
"ENSG00000280897",0,-1.97480200150664,0,1,1
"ENSG00000206107",-0.303467911462247,-1.96533185730537,1.35033997473888,0.245218690764941,1
"ENSG00000263567",0.887859202671367,-1.91653746694253,5.25573626014051,0.0218745447551538,1
"ENSG00000235475",-1.15435435972965,0.109169827171372,42.7001945129315,6.3805944354399e-11,5.49815822501857e-07
"ENSG00000207974",0,-1.97480200150664,0,1,1
"ENSG00000230864",0,-1.97480200150664,0,1,1
"ENSG00000273319",-1.90249153026327,0.562883537438907,99.2167652483733,2.26322975280047e-23,2.14803135838293e-19
"ENSG00000273903",-0.519919492564112,-1.27528469643195,3.85637531275117,0.0495572816715099,1
"ENSG00000224946",0.140303626678364,-1.96750320752568,0.647119144852086,0.421144547327273,1
"ENSG00000278544",0,-1.97480200150664,0,1,1
"ENSG00000243232",0.571084722005036,6.01873056470999,9.71917378558439,0.00182355475791375,1
"ENSG00000224486",0.0707453720010597,-1.97155302010084,0.323658177591296,0.56941746351145,1
"ENSG00000227855",-0.399604521185709,3.50167418395654,19.6400155118182,9.34905604700865e-06,0.0711463165177358
"ENSG00000234261",-0.0523563066974653,-1.90554179032922,0.0220399367323694,0.881980907237805,1
"ENSG00000236690",0,-1.97480200150664,0,1,1
"ENSG00000233442",0.0729196337919149,-1.97073399244817,0.324145063393235,0.569127197416112,1
"ENSG00000260399",0,-1.97480200150664,0,1,1
"ENSG00000188290",0.119739872465462,6.21637556705377,0.467747411858909,0.494025293719104,1
"ENSG00000130669",0.227650806419756,7.59552156356469,7.46087568289536,0.00630543262775028,1
"ENSG00000184221",0.979696595271481,11.6111929689002,36.9617456116057,1.2046978203421e-09,1.01712636971484e-05
"ENSG00000279884",-1.74917963053496,-1.74435560676047,20.0755128883158,7.44437500293331e-06,0.0569196912724281
"ENSG00000169564",0.357782030862586,10.3481066208873,66.7133711524428,3.1399800934156e-16,2.86868581334449e-12
"ENSG00000211991",0,-1.97480200150664,0,1,1
"ENSG00000251598",-0.0972091981105774,-1.95456595609152,0.0898865344756601,0.764321453103567,1
"ENSG00000249604",-0.460216040178405,-0.123101377854317,7.09437813328637,0.00773261175221389,1
"ENSG00000042813",-1.35491537345026,-1.66620560813741,14.7329196119681,0.000123864573985089,0.896531786504072
"ENSG00000280334",-3.8969226533678,4.78700888077213,317.26942618615,5.69753742679076e-71,5.68671210567986e-67
"ENSG00000266868",0,-1.97480200150664,0,1,1
"ENSG00000227788",-1.37014593948531,-0.95778882022102,43.2536527115558,4.80839237987506e-11,4.15300849849809e-07
"ENSG00000229477",-0.836515254786428,-1.93526208868236,4.05678445042349,0.0439941983029227,1
"ENSG00000187583",-0.712067632866731,-1.00640673869168,7.3037592465561,0.00688104951627057,1
"ENSG00000252806",0,-1.97480200150664,0,1,1
"ENSG00000280086",-0.618752453955379,-1.92670487603117,2.44108635927608,0.118194344698476,1
"ENSG00000224358",0.0400368438311159,1.1642512959449,0.10359434406061,0.747558187167602,1
"ENSG00000271757",-1.37005069541474,1.39247985896438,111.120741729176,5.56744535522039e-26,5.33416939483665e-22
"ENSG00000237251",-0.332790664574889,-1.92721240272147,0.738183036027884,0.390243538814342,1
"ENSG00000235008",-1.75470611122272,-1.45883136880281,16.9403433167821,3.85730321897413e-05,0.286404764008829
"ENSG00000068366",-0.0748980992754096,8.28643188684297,0.655374517663631,0.418197677661094,1
"ENSG00000202417",0,-1.97480200150664,0,1,1
"ENSG00000260338",-0.304299871408799,-1.83512719576659,0.541615283127356,0.461764070672223,1
"ENSG00000228638",0.848975448509974,4.13153257644858,146.146468557799,1.20592704288825e-33,1.17565827411176e-29
"ENSG00000196498",0.926437452416489,10.6589845744347,108.582861887061,2.00299121600733e-25,1.91505990162461e-21
"ENSG00000223659",-0.581232782648434,-1.9398136231721,2.3985367904691,0.121448799193027,1
"ENSG00000148935",-1.34622256975863,4.00262989695956,70.4864347250349,4.63442316198587e-17,4.25393702038683e-13
"ENSG00000149972",0.0887845437987385,4.19030036283388,0.107770713728996,0.74269656167362,1
"ENSG00000231964",-1.80827140948234,-0.952606112488478,47.4184483859398,5.73404899804252e-12,5.0167194683874e-08
"ENSG00000116016",0.120464251792342,10.5167577197918,1.06599820799087,0.301851108487244,1
"ENSG00000270276",0.438677385225438,4.86823466752921,8.5509984185698,0.00345332770180778,1
"ENSG00000259943",0.11545314464475,6.36842129302716,1.67226429750187,0.195955524786638,1
"ENSG00000005961",-0.50680320765175,3.44083591292968,13.3854828004374,0.000253579368772639,1
"ENSG00000258563",0.368152377516907,-1.92098707471981,0.7923257621609,0.373397791355687,1
"ENSG00000230992",1.34753531176003,1.36452414437651,52.1494395387289,5.14335295979744e-13,4.56729742830012e-09
"ENSG00000146555",0.569504508791873,5.89798938549556,13.1019354983499,0.000294990839506814,1
"ENSG00000248633",-0.653061881986082,-1.80646661482042,2.7302142411953,0.0984660753400706,1
"ENSG00000113296",0.22005271913689,8.26162698596281,0.855240410148724,0.355074065811489,1
"ENSG00000278395",-0.360461602986403,-1.97048975252442,3.77838204362403,0.0519188413350068,1
"ENSG00000229388",-0.0184823447544363,1.21786802423255,0.0217934711170926,0.882637840685109,1
"ENSG00000134255",0.178630855769168,7.15427404161309,4.65274078045533,0.0310040068118883,1
"ENSG00000265174",2.26414667496351,-1.1081499358344,20.6727120453935,5.44870075717817e-06,0.0418569192166427
"ENSG00000105298",0.255504295426938,7.72346422196113,18.7899697417976,1.45932585144666e-05,0.110427187178969
"ENSG00000185296",0.138521650096331,-1.96813792934704,0.646314756669854,0.421433339791586,1
"ENSG00000238211",0,-1.97480200150664,0,1,1
