"","pert_iname","mean","n","median","sd","sRGES"
"2366","BRD-K41871066",-0.30348549777945,6,-0.324342541236456,0.171928495691041,-0.30348549777945
"2367","BRD-K70108530",-0.303480441089123,1,-0.303480441089123,NA,-0.303480441089123
"2368","BRD-K15825608",-0.303413272090688,3,-0.372449229851736,0.179041802391902,-0.303413272090688
"2369","BRD-K02515288",-0.303374839158116,1,-0.303374839158116,NA,-0.303374839158116
"2370","BRD-K71287386",-0.303188778613009,1,-0.303188778613009,NA,-0.303188778613009
"2371","BRD-K92959281",-0.303162732906225,3,-0.285891852802556,0.144759811144174,-0.303162732906225
"2372","BRD-K76935234",-0.303141507940331,1,-0.303141507940331,NA,-0.303141507940331
"2373","BRD-K31774852",-0.303043592647574,1,-0.303043592647574,NA,-0.303043592647574
"2374","BRD-K13896696",-0.302853534387591,1,-0.302853534387591,NA,-0.302853534387591
"2375","BRD-K40635448",-0.302723794872354,1,-0.302723794872354,NA,-0.302723794872354
"2376","BRD-K44806584",-0.302720107185874,1,-0.302720107185874,NA,-0.302720107185874
"2377","BRD-K96839270",-0.302563883376829,1,-0.302563883376829,NA,-0.302563883376829
"2378","BRD-K05978741",-0.302515943452594,3,-0.361771701272166,0.152025380181573,-0.302515943452594
"2379","SA-94315",-0.30242519099537,6,-0.407495983813268,0.267566268493254,-0.30242519099537
"2380","BRD-K20216424",-0.302341616455377,1,-0.302341616455377,NA,-0.302341616455377
"2381","BRD-K16995194",-0.302306495752387,5,-0.415051459988602,0.284609278093745,-0.302306495752387
"2382","SA-1938421",-0.302241043187751,1,-0.302241043187751,NA,-0.302241043187751
"2383","BRD-K31970894",-0.302054802412617,2,-0.302054802412617,0.207075429060634,-0.302054802412617
"2384","BRD-K58196326",-0.302019111510525,1,-0.302019111510525,NA,-0.302019111510525
"2385","BRD-K06650679",-0.301831709988516,1,-0.301831709988516,NA,-0.301831709988516
"2386","BRD-K75627148",-0.301828737716844,10,-0.288398002620808,0.133720082405886,-0.301828737716844
"2387","BRD-K91652715",-0.301804890450482,1,-0.301804890450482,NA,-0.301804890450482
"2388","BRD-K47695085",-0.301802910596268,2,-0.301802910596268,0.0676271330981562,-0.301802910596268
"2389","BRD-K51574318",-0.301687890215812,1,-0.301687890215812,NA,-0.301687890215812
"2390","BRD-K87755452",-0.301625534789884,1,-0.301625534789884,NA,-0.301625534789884
"2391","BRD-K65050353",-0.301623722557781,2,-0.301623722557781,0.1056886745156,-0.301623722557781
"2392","BRD-K38965110",-0.301611789776642,1,-0.301611789776642,NA,-0.301611789776642
"2393","clorgiline",-0.301443226390425,1,-0.301443226390425,NA,-0.301443226390425
"2394","BRD-K40567080",-0.301266307994434,2,-0.301266307994434,0.178638056935253,-0.301266307994434
"2395","SA-1473405",-0.301237975654748,3,-0.365768818171827,0.11222040687997,-0.301237975654748
"2396","BRD-K15050703",-0.301201531503807,8,-0.349584567945537,0.163626400413237,-0.301201531503807
"2397","BRD-K49594309",-0.301192399250643,1,-0.301192399250643,NA,-0.301192399250643
"2398","BRD-K48332509",-0.301101196010778,3,-0.395155631267709,0.245466837004738,-0.301101196010778
"2399","BRD-K20168484",-0.301078983539508,2,-0.301078983539508,0.0488749722835822,-0.301078983539508
"2400","SA-1459454",-0.301027298010181,6,-0.337301051904101,0.20738614164591,-0.301027298010181
"2401","BRD-K28862419",-0.300845421477335,1,-0.300845421477335,NA,-0.300845421477335
"2402","BRD-K48863671",-0.300663048618708,1,-0.300663048618708,NA,-0.300663048618708
"2403","roxithromycin",-0.300597004269407,1,-0.300597004269407,NA,-0.300597004269407
"2404","BRD-K14215828",-0.300593317819821,1,-0.300593317819821,NA,-0.300593317819821
"2405","BRD-K26526202",-0.300582925248833,1,-0.300582925248833,NA,-0.300582925248833
"2406","BRD-K66186977",-0.300576220364325,1,-0.300576220364325,NA,-0.300576220364325
"2407","BRD-K57134435",-0.300560528344899,1,-0.300560528344899,NA,-0.300560528344899
"2408","BRD-K65044501",-0.300558452420377,1,-0.300558452420377,NA,-0.300558452420377
"2409","BRD-K94263505",-0.300548059849389,1,-0.300548059849389,NA,-0.300548059849389
"2410","BRD-K65567503",-0.300544371544463,2,-0.300544371544463,0.0872001180288856,-0.300544371544463
"2411","BRD-K01251033",-0.300521975258976,1,-0.300521975258976,NA,-0.300521975258976
"2412","BRD-K36206486",-0.300435082545423,2,-0.300435082545423,0.188567971706506,-0.300435082545423
"2413","BRD-K34447376",-0.300390159819218,1,-0.300390159819218,NA,-0.300390159819218
"2414","BRD-K76784707",-0.300366022234987,1,-0.300366022234987,NA,-0.300366022234987
"2415","BRD-K19303070",-0.30002340263661,1,-0.30002340263661,NA,-0.30002340263661
"2416","ponatinib",-0.299979862373136,27,-0.337618000103406,0.189495162780376,-0.299979862373136
"2417","BRD-K00256608",-0.299948333855744,4,-0.301421235664076,0.106513407093618,-0.299948333855744
"2418","BRD-K29768655",-0.299927858032366,2,-0.299927858032366,0.0993576411677914,-0.299927858032366
"2419","BRD-K78133682",-0.29984461952069,10,-0.297182407677888,0.123373239819185,-0.29984461952069
"2420","BRD-K51368089",-0.299838347824179,1,-0.299838347824179,NA,-0.299838347824179
"2421","BRD-K90090262",-0.299828456882636,2,-0.299828456882636,0.0342667895473727,-0.299828456882636
"2422","BRD-K79491139",-0.29979898823883,2,-0.29979898823883,0.0713334640257274,-0.29979898823883
"2423","selamectin",-0.299653984161993,15,-0.317856382726613,0.180411826478073,-0.299653984161993
