"","target","p","padj"
"CHEMBL2736","CHEMBL2736",0.000117647058823529,0.215058823529412
"CHEMBL3107","CHEMBL3107",0.000117647058823529,0.215058823529412
"CHEMBL3238","CHEMBL3238",0.000117647058823529,0.215058823529412
"CHEMBL3761","CHEMBL3761",0.000117647058823529,0.215058823529412
"CHEMBL1293289","CHEMBL1293289",0.000176470588235294,0.321176470588235
"CHEMBL1770046","CHEMBL1770046",0.000176470588235294,0.321176470588235
"CHEMBL2372","CHEMBL2372",0.000176470588235294,0.321176470588235
"CHEMBL3231","CHEMBL3231",0.000176470588235294,0.321176470588235
"CHEMBL4393","CHEMBL4393",0.000176470588235294,0.321176470588235
"CHEMBL2780","CHEMBL2780",0.000235294117647059,0.427058823529412
"CHEMBL2787","CHEMBL2787",0.000235294117647059,0.427058823529412
"CHEMBL4073","CHEMBL4073",0.000235294117647059,0.427058823529412
"CHEMBL5669","CHEMBL5669",0.000235294117647059,0.427058823529412
"CHEMBL5862","CHEMBL5862",0.000235294117647059,0.427058823529412
"CHEMBL5932","CHEMBL5932",0.000235294117647059,0.427058823529412
"CHEMBL2208","CHEMBL2208",0.000294117647058824,0.532058823529412
"CHEMBL2364701","CHEMBL2364701",0.000294117647058824,0.532058823529412
"CHEMBL3156","CHEMBL3156",0.000294117647058824,0.532058823529412
"CHEMBL3660","CHEMBL3660",0.000294117647058824,0.532058823529412
"CHEMBL3880","CHEMBL3880",0.000294117647058824,0.532058823529412
"CHEMBL4761","CHEMBL4761",0.000294117647058824,0.532058823529412
"CHEMBL2213","CHEMBL2213",0.000352941176470588,0.636352941176471
"CHEMBL3788","CHEMBL3788",0.000352941176470588,0.636352941176471
"CHEMBL2963","CHEMBL2963",0.000411764705882353,0.741588235294118
"CHEMBL2916","CHEMBL2916",0.000529411764705882,0.952941176470588
"CHEMBL3218","CHEMBL3218",0.000529411764705882,0.952941176470588
"CHEMBL1075051","CHEMBL1075051",0.998058823529412,1
"CHEMBL1075097","CHEMBL1075097",0.856352941176471,1
"CHEMBL1075104","CHEMBL1075104",0.451705882352941,1
"CHEMBL1075108","CHEMBL1075108",0.999764705882353,1
"CHEMBL1075111","CHEMBL1075111",0.938764705882353,1
"CHEMBL1075132","CHEMBL1075132",0.388,1
"CHEMBL1075133","CHEMBL1075133",0.986176470588235,1
"CHEMBL1075138","CHEMBL1075138",1,1
"CHEMBL1075140","CHEMBL1075140",0.935294117647059,1
"CHEMBL1075145","CHEMBL1075145",0.477764705882353,1
"CHEMBL1075152","CHEMBL1075152",0.988823529411765,1
"CHEMBL1075162","CHEMBL1075162",0.996823529411765,1
"CHEMBL1075163","CHEMBL1075163",0.900529411764706,1
"CHEMBL1075165","CHEMBL1075165",0.000764705882352941,1
"CHEMBL1075167","CHEMBL1075167",0.848647058823529,1
"CHEMBL1075195","CHEMBL1075195",0.999705882352941,1
"CHEMBL1075214","CHEMBL1075214",0.997647058823529,1
"CHEMBL1075246","CHEMBL1075246",0.575882352941177,1
"CHEMBL1075269","CHEMBL1075269",0.876117647058824,1
"CHEMBL1075280","CHEMBL1075280",0.921058823529412,1
"CHEMBL1075282","CHEMBL1075282",0.535294117647059,1
"CHEMBL1075284","CHEMBL1075284",0.221823529411765,1
"CHEMBL1075289","CHEMBL1075289",0.776647058823529,1
"CHEMBL1075294","CHEMBL1075294",0.0471764705882353,1
"CHEMBL1075302","CHEMBL1075302",0.984529411764706,1
"CHEMBL1075307","CHEMBL1075307",0.213470588235294,1
"CHEMBL1075317","CHEMBL1075317",0.995647058823529,1
"CHEMBL1075319","CHEMBL1075319",0.0608235294117647,1
"CHEMBL1075322","CHEMBL1075322",1,1
"CHEMBL1075323","CHEMBL1075323",0.978176470588235,1
"CHEMBL1163101","CHEMBL1163101",0.733352941176471,1
"CHEMBL1163124","CHEMBL1163124",0.901117647058824,1
"CHEMBL1163126","CHEMBL1163126",0.997529411764706,1
"CHEMBL1163129","CHEMBL1163129",0.999882352941176,1
"CHEMBL1250375","CHEMBL1250375",0.778647058823529,1
"CHEMBL1250417","CHEMBL1250417",1,1
"CHEMBL1255126","CHEMBL1255126",0.999941176470588,1
"CHEMBL1255137","CHEMBL1255137",0.837176470588235,1
"CHEMBL1255149","CHEMBL1255149",0.881764705882353,1
"CHEMBL1255150","CHEMBL1255150",0.965,1
"CHEMBL1255164","CHEMBL1255164",0.612470588235294,1
"CHEMBL1255165","CHEMBL1255165",0.338647058823529,1
"CHEMBL1275212","CHEMBL1275212",0.988588235294118,1
"CHEMBL1275217","CHEMBL1275217",0.459470588235294,1
"CHEMBL1287622","CHEMBL1287622",0.996117647058824,1
"CHEMBL1287623","CHEMBL1287623",0.999941176470588,1
"CHEMBL1287625","CHEMBL1287625",0.952764705882353,1
"CHEMBL1287627","CHEMBL1287627",0.591470588235294,1
"CHEMBL1287628","CHEMBL1287628",0.173058823529412,1
"CHEMBL1293191","CHEMBL1293191",0.999823529411765,1
"CHEMBL1293194","CHEMBL1293194",0.561294117647059,1
"CHEMBL1293222","CHEMBL1293222",0.153352941176471,1
"CHEMBL1293224","CHEMBL1293224",1,1
"CHEMBL1293226","CHEMBL1293226",0.858117647058824,1
"CHEMBL1293231","CHEMBL1293231",0.540647058823529,1
"CHEMBL1293237","CHEMBL1293237",0.815,1
"CHEMBL1293255","CHEMBL1293255",0.961470588235294,1
"CHEMBL1293267","CHEMBL1293267",1,1
"CHEMBL1293287","CHEMBL1293287",0.992764705882353,1
"CHEMBL1293292","CHEMBL1293292",0.999941176470588,1
"CHEMBL1293293","CHEMBL1293293",1,1
"CHEMBL1615381","CHEMBL1615381",0.999235294117647,1
"CHEMBL1628461","CHEMBL1628461",0.994705882352941,1
"CHEMBL1628481","CHEMBL1628481",0.994764705882353,1
"CHEMBL1641347","CHEMBL1641347",1,1
"CHEMBL1641348","CHEMBL1641348",0.999941176470588,1
"CHEMBL1649052","CHEMBL1649052",0.0338235294117647,1
"CHEMBL1697668","CHEMBL1697668",1,1
"CHEMBL1697671","CHEMBL1697671",0.999941176470588,1
"CHEMBL1741186","CHEMBL1741186",0.989352941176471,1
"CHEMBL1743121","CHEMBL1743121",0.980411764705882,1
"CHEMBL1743122","CHEMBL1743122",1,1
"CHEMBL1743125","CHEMBL1743125",1,1
"CHEMBL1743126","CHEMBL1743126",1,1
"CHEMBL1744522","CHEMBL1744522",0.847470588235294,1
"CHEMBL1764940","CHEMBL1764940",0.999823529411765,1
"CHEMBL1764946","CHEMBL1764946",0.998470588235294,1
"CHEMBL1770034","CHEMBL1770034",0.999470588235294,1
