"","target","p","padj"
"CHEMBL2741","CHEMBL2741",0,0
"CHEMBL2753","CHEMBL2753",0,0
"CHEMBL276","CHEMBL276",0,0
"CHEMBL2794","CHEMBL2794",0,0
"CHEMBL281","CHEMBL281",0,0
"CHEMBL2821","CHEMBL2821",0,0
"CHEMBL285","CHEMBL285",0,0
"CHEMBL2851","CHEMBL2851",0,0
"CHEMBL2858","CHEMBL2858",0,0
"CHEMBL2885","CHEMBL2885",0,0
"CHEMBL289","CHEMBL289",0,0
"CHEMBL2903","CHEMBL2903",0,0
"CHEMBL2951","CHEMBL2951",0,0
"CHEMBL2993","CHEMBL2993",0,0
"CHEMBL2994","CHEMBL2994",0,0
"CHEMBL2998","CHEMBL2998",0,0
"CHEMBL300","CHEMBL300",0,0
"CHEMBL3000","CHEMBL3000",0,0
"CHEMBL3021","CHEMBL3021",0,0
"CHEMBL3025","CHEMBL3025",0,0
"CHEMBL3027","CHEMBL3027",0,0
"CHEMBL3056","CHEMBL3056",0,0
"CHEMBL3066","CHEMBL3066",0,0
"CHEMBL3091","CHEMBL3091",0,0
"CHEMBL3112376","CHEMBL3112376",0,0
"CHEMBL312","CHEMBL312",0,0
"CHEMBL313","CHEMBL313",0,0
"CHEMBL3148","CHEMBL3148",0,0
"CHEMBL315","CHEMBL315",0,0
"CHEMBL3154","CHEMBL3154",0,0
"CHEMBL3180","CHEMBL3180",0,0
"CHEMBL319","CHEMBL319",0,0
"CHEMBL3194","CHEMBL3194",0,0
"CHEMBL3201","CHEMBL3201",0,0
"CHEMBL3204","CHEMBL3204",0,0
"CHEMBL322","CHEMBL322",0,0
"CHEMBL3222","CHEMBL3222",0,0
"CHEMBL323","CHEMBL323",0,0
"CHEMBL324","CHEMBL324",0,0
"CHEMBL3242","CHEMBL3242",0,0
"CHEMBL3243","CHEMBL3243",0,0
"CHEMBL3251","CHEMBL3251",0,0
"CHEMBL3252","CHEMBL3252",0,0
"CHEMBL326","CHEMBL326",0,0
"CHEMBL3262","CHEMBL3262",0,0
"CHEMBL327","CHEMBL327",0,0
"CHEMBL3272","CHEMBL3272",0,0
"CHEMBL3309","CHEMBL3309",0,0
"CHEMBL3310","CHEMBL3310",0,0
"CHEMBL3314","CHEMBL3314",0,0
"CHEMBL3321","CHEMBL3321",0,0
"CHEMBL3338","CHEMBL3338",0,0
"CHEMBL3356","CHEMBL3356",0,0
"CHEMBL3369","CHEMBL3369",0,0
"CHEMBL3373","CHEMBL3373",0,0
"CHEMBL3374","CHEMBL3374",0,0
"CHEMBL339","CHEMBL339",0,0
"CHEMBL3409","CHEMBL3409",0,0
"CHEMBL341","CHEMBL341",0,0
"CHEMBL3425","CHEMBL3425",0,0
"CHEMBL343","CHEMBL343",0,0
"CHEMBL3437","CHEMBL3437",0,0
"CHEMBL3455","CHEMBL3455",0,0
"CHEMBL3457","CHEMBL3457",0,0
"CHEMBL3459","CHEMBL3459",0,0
"CHEMBL3460","CHEMBL3460",0,0
"CHEMBL3481","CHEMBL3481",0,0
"CHEMBL3570","CHEMBL3570",0,0
"CHEMBL3577","CHEMBL3577",0,0
"CHEMBL3596","CHEMBL3596",0,0
"CHEMBL3614","CHEMBL3614",0,0
"CHEMBL3623","CHEMBL3623",0,0
"CHEMBL3649","CHEMBL3649",0,0
"CHEMBL3691","CHEMBL3691",0,0
"CHEMBL3709","CHEMBL3709",0,0
"CHEMBL3736","CHEMBL3736",0,0
"CHEMBL3754","CHEMBL3754",0,0
"CHEMBL3769","CHEMBL3769",0,0
"CHEMBL3776","CHEMBL3776",0,0
"CHEMBL3780","CHEMBL3780",0,0
"CHEMBL3795","CHEMBL3795",0,0
"CHEMBL3815","CHEMBL3815",0,0
"CHEMBL3819","CHEMBL3819",0,0
"CHEMBL3833","CHEMBL3833",0,0
"CHEMBL3842","CHEMBL3842",0,0
"CHEMBL3891","CHEMBL3891",0,0
"CHEMBL3912","CHEMBL3912",0,0
"CHEMBL3917","CHEMBL3917",0,0
"CHEMBL3923","CHEMBL3923",0,0
"CHEMBL3965","CHEMBL3965",0,0
"CHEMBL3979","CHEMBL3979",0,0
"CHEMBL3998","CHEMBL3998",0,0
"CHEMBL401","CHEMBL401",0,0
"CHEMBL402","CHEMBL402",0,0
"CHEMBL4026","CHEMBL4026",0,0
"CHEMBL4027","CHEMBL4027",0,0
"CHEMBL4031","CHEMBL4031",0,0
"CHEMBL4051","CHEMBL4051",0,0
"CHEMBL4068","CHEMBL4068",0,0
"CHEMBL4071","CHEMBL4071",0,0
"CHEMBL4072","CHEMBL4072",0,0
"CHEMBL4077","CHEMBL4077",0,0
"CHEMBL4123","CHEMBL4123",0,0
"CHEMBL4136","CHEMBL4136",0,0
"CHEMBL4198","CHEMBL4198",0,0
"CHEMBL4234","CHEMBL4234",0,0
"CHEMBL4281","CHEMBL4281",0,0
"CHEMBL4302","CHEMBL4302",0,0
"CHEMBL4317","CHEMBL4317",0,0
"CHEMBL4336","CHEMBL4336",0,0
"CHEMBL4394","CHEMBL4394",0,0
"CHEMBL4422","CHEMBL4422",0,0
"CHEMBL4552","CHEMBL4552",0,0
