"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"1216",1216,"SN-38",-0.628236894007877,76,-0.695875466624311,0.262783354978406,0.0067,1216
"1266",1266,"camptothecin",-0.621644346590713,61,-0.644392849037399,0.219323709962948,0.0072,1266
"1494",1494,"topotecan",-0.597136031146767,26,-0.580355316973415,0.173652292435185,0.0103,1494
"2968",2968,"irinotecan",-0.431170945997122,27,-0.538803680981595,0.259923421963742,0.1032,2968
