"","target","p","padj"
"CHRM2","CHRM2",0.960470588235294,1
"CHRM3","CHRM3",0.986058823529412,1
"CHRM4","CHRM4",0.947764705882353,1
"CHRM5","CHRM5",0.982176470588235,1
"CHRNA1","CHRNA1",0.999058823529412,1
"CHRNA3","CHRNA3",0.995647058823529,1
"CHRNA4","CHRNA4",0.999352941176471,1
"CHRNA7","CHRNA7",0.994529411764706,1
"CHRNB1","CHRNB1",0.999058823529412,1
"CHRNB2","CHRNB2",0.999352941176471,1
"CHRNB4","CHRNB4",0.991764705882353,1
"CHRND","CHRND",0.999058823529412,1
"CHRNG","CHRNG",0.999058823529412,1
"CHUK","CHUK",0.0849411764705882,1
"CLK1","CLK1",1,1
"CLK2","CLK2",0.999764705882353,1
"CLK3","CLK3",1,1
"CLK4","CLK4",0.999,1
"CNR1","CNR1",0.852,1
"CNR2","CNR2",0.499294117647059,1
"CSF1R","CSF1R",0.680705882352941,1
"CSK","CSK",0.889235294117647,1
"CSNK1A1","CSNK1A1",0.694,1
"CSNK1D","CSNK1D",0.799647058823529,1
"CSNK1E","CSNK1E",0.279705882352941,1
"CSNK1G1","CSNK1G1",0.368764705882353,1
"CSNK1G2","CSNK1G2",0.279882352941176,1
"CSNK2A1","CSNK2A1",0.897529411764706,1
"CTDSP1","CTDSP1",0.717941176470588,1
"CTSB","CTSB",0.352352941176471,1
"CTSC","CTSC",0.749352941176471,1
"CTSK","CTSK",0.575823529411765,1
"CTSL1","CTSL1",0.872176470588235,1
"CTSS","CTSS",0.749352941176471,1
"CTSZ","CTSZ",0.749352941176471,1
"CXCR1","CXCR1",0.717529411764706,1
"CXCR2","CXCR2",0.769823529411765,1
"CXCR4","CXCR4",0.213470588235294,1
"CYP11B1","CYP11B1",0.936705882352941,1
"CYP11B2","CYP11B2",0.936705882352941,1
"CYP17A1","CYP17A1",0.594294117647059,1
"CYP19A1","CYP19A1",0.922705882352941,1
"CYP1A1","CYP1A1",0.897294117647059,1
"CYP1A2","CYP1A2",0.999411764705882,1
"CYP1B1","CYP1B1",0.897294117647059,1
"CYP2B6","CYP2B6",0.996647058823529,1
"CYP2B7P1","CYP2B7P1",0.996647058823529,1
"CYP2C19","CYP2C19",0.989294117647059,1
"CYP2C8","CYP2C8",0.906764705882353,1
"CYP2C9","CYP2C9",0.968117647058824,1
"CYP2D6","CYP2D6",0.999882352941176,1
"CYP3A4","CYP3A4",0.780647058823529,1
"CYP51A1","CYP51A1",0.407176470588235,1
"CYSLTR1","CYSLTR1",0.918470588235294,1
"CYSLTR2","CYSLTR2",0.974705882352941,1
"DAPK3","DAPK3",0.383529411764706,1
"DDR1","DDR1",0.35,1
"DDR2","DDR2",0.538117647058823,1
"DHCR7","DHCR7",0.514588235294118,1
"DHFR","DHFR",0.602294117647059,1
"DHFRP1","DHFRP1",0.602294117647059,1
"DNMT1","DNMT1",0.538176470588235,1
"DPP4","DPP4",0.941647058823529,1
"DRD1","DRD1",0.992058823529412,1
"DRD2","DRD2",0.999941176470588,1
"DRD3","DRD3",1,1
"DRD4","DRD4",0.998882352941176,1
"DRD5","DRD5",0.998058823529412,1
"DRD5P1","DRD5P1",0.998058823529412,1
"DUSP3","DUSP3",0.191588235294118,1
"DYRK1A","DYRK1A",0.999941176470588,1
"DYRK1B","DYRK1B",0.999882352941176,1
"DYRK2","DYRK2",0.792411764705882,1
"DYRK3","DYRK3",0.611411764705882,1
"EBP","EBP",0.98,1
"EBPL","EBPL",0.691176470588235,1
"EDNRA","EDNRA",0.998529411764706,1
"EDNRB","EDNRB",0.985,1
"EGFR","EGFR",0.887235294117647,1
"EIF2AK2","EIF2AK2",0.623294117647059,1
"EPHA2","EPHA2",0.440294117647059,1
"EPHB2","EPHB2",0.833529411764706,1
"EPHB4","EPHB4",0.594705882352941,1
"EPHX2","EPHX2",0.929235294117647,1
"ERBB2","ERBB2",0.653705882352941,1
"ERBB4","ERBB4",0.874588235294118,1
"ESR1","ESR1",0.988941176470588,1
"ESR2","ESR2",0.958882352941177,1
"ESRRA","ESRRA",0.885529411764706,1
"ESRRB","ESRRB",0.774058823529412,1
"ESRRG","ESRRG",0.845647058823529,1
"F2","F2",0.617941176470588,1
"F3","F3",0.221823529411765,1
"FAAH","FAAH",0.588647058823529,1
"FABP2","FABP2",0.759941176470588,1
"FER","FER",0.758235294117647,1
"FES","FES",0.690117647058824,1
"FFAR1","FFAR1",0.909294117647059,1
"FGFR1","FGFR1",0.856941176470588,1
"FGFR2","FGFR2",0.132352941176471,1
"FGFR3","FGFR3",0.704529411764706,1
"FGFR4","FGFR4",0.147647058823529,1
"FKBP1A","FKBP1A",0.440411764705882,1
"FKBP1B","FKBP1B",0.420529411764706,1
"FKBP4","FKBP4",0.34,1
"FLT1","FLT1",0.909058823529412,1
"FLT3","FLT3",0.747529411764706,1
"FLT4","FLT4",0.982647058823529,1
"FNTA","FNTA",0.997117647058824,1
"FNTB","FNTB",0.977529411764706,1
"FRK","FRK",0.730529411764706,1
"FXYD2","FXYD2",0.0198235294117647,1
"FYN","FYN",0.915647058823529,1
"G6PD","G6PD",0.857470588235294,1
"GAA","GAA",0.682529411764706,1
"GABRA1","GABRA1",0.914529411764706,1
"GABRA2","GABRA2",0.954529411764706,1
"GABRA3","GABRA3",0.837529411764706,1
"GABRA4","GABRA4",0.798647058823529,1
"GABRA5","GABRA5",0.759294117647059,1
"GABRA6","GABRA6",0.812529411764706,1
"GABRB1","GABRB1",0.814058823529412,1
"GABRB2","GABRB2",0.980705882352941,1
"GABRB3","GABRB3",0.899058823529412,1
"GABRD","GABRD",0.812529411764706,1
"GABRE","GABRE",0.812529411764706,1
"GABRG1","GABRG1",0.812529411764706,1
"GABRG2","GABRG2",0.946588235294118,1
"GABRG3","GABRG3",0.812529411764706,1
"GABRP","GABRP",0.812529411764706,1
"GABRQ","GABRQ",0.812529411764706,1
"GBA","GBA",0.941235294117647,1
"GLO1","GLO1",0.700647058823529,1
"GPBAR1","GPBAR1",0.832,1
"GPER","GPER",0.874823529411765,1
"GPR17","GPR17",0.948705882352941,1
"GPR35","GPR35",0.285,1
"GPR55","GPR55",0.309411764705882,1
"GRIN1","GRIN1",0.968176470588235,1
"GRIN2A","GRIN2A",0.890294117647059,1
"GRIN2B","GRIN2B",0.989941176470588,1
"GRIN2C","GRIN2C",0.924470588235294,1
"GRIN2D","GRIN2D",0.924470588235294,1
"GRIN3A","GRIN3A",0.924470588235294,1
